x1,y1,z1,x2,y2,z2
2.0,-2.43616056442,5.25149250031,10.0,-2.43616056442,5.25149250031
2.0,-1.99682068825,6.31215286255,10.0,-1.99682068825,6.31215286255
2.0,-0.936160564423,6.75149250031,10.0,-0.936160564423,6.75149250031
2.0,0.124499604106,6.31215286255,10.0,0.124499604106,6.31215286255
2.0,0.563839435577,5.25149250031,10.0,0.563839435577,5.25149250031
2.0,-15.393872261,22.8103961945,10.0,-15.393872261,22.8103961945
2.0,-13.8554105759,22.8103961945,10.0,-13.8554105759,22.8103961945
2.0,-12.3169488907,22.8103961945,10.0,-12.3169488907,22.8103961945
2.0,-10.7784872055,22.8103961945,10.0,-10.7784872055,22.8103961945
2.0,-9.24002552032,22.8103961945,10.0,-9.24002552032,22.8103961945
2.0,-7.70156431198,22.8103961945,10.0,-7.70156431198,22.8103961945
2.0,-6.1631026268,22.8103961945,10.0,-6.1631026268,22.8103961945
2.0,-4.62464094162,22.8103961945,10.0,-4.62464094162,22.8103961945
2.0,-3.08617949486,22.8103961945,10.0,-3.08617949486,22.8103961945
2.0,-1.5477180481,22.8103961945,10.0,-1.5477180481,22.8103961945
2.0,-0.00925650820136,22.8103961945,10.0,-0.00925650820136,22.8103961945
2.0,1.52920508385,22.8103961945,10.0,1.52920508385,22.8103961945
9.36368055587e-17,1.52920508385,22.8103961945,8.0,1.52920508385,22.8103961945
-5.66797657004e-19,-0.00925650820136,22.8103961945,8.0,-0.00925650820136,22.8103961945
-9.47703976791e-17,-1.5477180481,22.8103961945,8.0,-1.5477180481,22.8103961945
-1.88973991999e-16,-3.08617949486,22.8103961945,8.0,-3.08617949486,22.8103961945
-2.83177586318e-16,-4.62464094162,22.8103961945,8.0,-4.62464094162,22.8103961945
-3.77381195236e-16,-6.1631026268,22.8103961945,8.0,-6.1631026268,22.8103961945
-4.71584804155e-16,-7.70156431198,22.8103961945,8.0,-7.70156431198,22.8103961945
-5.65788383875e-16,-9.24002552032,22.8103961945,8.0,-9.24002552032,22.8103961945
-6.59991992794e-16,-10.7784872055,22.8103961945,8.0,-10.7784872055,22.8103961945
-7.54195601712e-16,-12.3169488907,22.8103961945,8.0,-12.3169488907,22.8103961945
-8.4839921063e-16,-13.8554105759,22.8103961945,8.0,-13.8554105759,22.8103961945
-9.42602819549e-16,-15.393872261,22.8103961945,8.0,-15.393872261,22.8103961945
2.83623992323e-16,4.63193130493,22.602897644,8.0,4.63193130493,22.602897644
3.72782620671e-16,6.0880022049,21.9947547913,8.0,6.0880022049,21.9947547913
4.49149493568e-16,7.33516788483,21.0280303955,8.0,7.33516788483,21.0280303955
5.07442660652e-16,8.28716754913,19.7695865631,8.0,8.28716754913,19.7695865631
5.43630131734e-16,8.87815380096,18.3064689636,8.0,8.87815380096,18.3064689636
5.55209066686e-16,9.06725215912,16.7398738861,8.0,9.06725215912,16.7398738861
